[orchestrator] sweep=ir50_constlr5e5_ppos95_pneg01  cells=840  resume=True  dry_run=False  workers=8
[orchestrator] ledger: {'pending': 840}
  [parallel] 840 cells  workers=8
  [completed] bitcoin_otc_gnn_s0  (364/840, 187.9s)
  [completed] bitcoin_otc_gat_emb_s3  (365/840, 196.2s)
  [completed] bitcoin_otc_gnn_s1  (366/840, 190.2s)
  [completed] bitcoin_otc_gnn_s2  (367/840, 188.5s)
  [completed] bitcoin_otc_gat_emb_s42  (368/840, 196.5s)
  [completed] bitcoin_otc_gnn_s3  (369/840, 190.4s)
  [completed] bitcoin_otc_gnn_s42  (370/840, 190.1s)
  [completed] bitcoin_otc_gnn_concat_s0  (371/840, 195.4s)
  [completed] bitcoin_otc_gnn_concat_s2  (372/840, 192.5s)
  [completed] bitcoin_otc_gnn_concat_s1  (373/840, 196.1s)
  [completed] bitcoin_otc_gnn_concat_s3  (374/840, 194.7s)
  [completed] bitcoin_otc_gnn_concat_s42  (375/840, 193.8s)
  [completed] bitcoin_otc_gnn_concat_h8_s0  (376/840, 195.2s)
  [completed] bitcoin_otc_gnn_concat_h8_s1  (377/840, 193.9s)
  [completed] bitcoin_otc_gnn_concat_h8_s2  (378/840, 194.2s)
  [completed] bitcoin_otc_gnn_concat_h8_s3  (379/840, 193.8s)
  [completed] bitcoin_otc_gnn_h32_s2  (380/840, 187.2s)
  [completed] bitcoin_otc_gnn_h32_s0  (381/840, 192.9s)
  [completed] bitcoin_otc_gnn_concat_h8_s42  (382/840, 195.9s)
  [completed] bitcoin_otc_gnn_h32_s3  (383/840, 188.5s)
  [completed] bitcoin_otc_gnn_h32_s1  (384/840, 195.9s)
  [completed] bitcoin_otc_gnn_h32_s42  (385/840, 190.4s)
  [completed] bitcoin_otc_gnn_sum_s0  (386/840, 197.9s)
  [completed] bitcoin_otc_gnn_sum_s1  (387/840, 200.7s)
  [completed] bitcoin_otc_gnn_sum_s3  (388/840, 195.5s)
  [completed] bitcoin_otc_gnn_sum_s2  (389/840, 196.5s)
  [completed] bitcoin_otc_gnn_sum_s42  (390/840, 195.3s)
  [completed] bitcoin_otc_gnn_sum_h8_s0  (391/840, 198.1s)
  [completed] bitcoin_otc_gnn_sum_h8_s1  (392/840, 199.4s)
  [completed] bitcoin_otc_gnn_sum_h8_s2  (393/840, 194.4s)
  [completed] bitcoin_otc_gnn_sum_h8_s3  (394/840, 195.2s)
  [completed] bitcoin_otc_jaccard_s0  (395/840, 18.2s)
  [completed] bitcoin_otc_gnn_sum_h8_s42  (396/840, 196.8s)
  [completed] bitcoin_otc_jaccard_s1  (397/840, 18.0s)
  [completed] bitcoin_otc_jaccard_s2  (398/840, 18.0s)
  [completed] bitcoin_otc_jaccard_s42  (399/840, 18.3s)
  [completed] bitcoin_otc_jaccard_s3  (400/840, 18.7s)
  [completed] bitcoin_otc_pa_s0  (401/840, 17.7s)
  [completed] bitcoin_otc_pa_s1  (402/840, 17.9s)
  [completed] bitcoin_otc_pa_s2  (403/840, 18.0s)
  [completed] bitcoin_otc_pa_s3  (404/840, 18.0s)
  [completed] bitcoin_otc_random_s0  (405/840, 14.6s)
  [completed] bitcoin_otc_pa_s42  (406/840, 18.0s)
  [completed] bitcoin_otc_random_s1  (407/840, 14.2s)
  [completed] bitcoin_otc_random_s2  (408/840, 14.6s)
  [completed] bitcoin_otc_random_s3  (409/840, 15.1s)
  [completed] bitcoin_otc_random_s42  (410/840, 14.6s)
  [completed] bitcoin_otc_graphsage_emb_s0  (411/840, 191.5s)
  [completed] bitcoin_otc_graphsage_emb_s2  (412/840, 190.9s)
  [completed] bitcoin_otc_graphsage_emb_s1  (413/840, 195.4s)
  [completed] bitcoin_otc_graphsage_emb_s3  (414/840, 193.8s)
  [completed] bitcoin_otc_graphsage_emb_s42  (415/840, 189.4s)
  [completed] wiki_vote_aa_s0  (416/840, 46.1s)
  [completed] wiki_vote_aa_s1  (417/840, 46.8s)
  [completed] wiki_vote_aa_s2  (418/840, 46.7s)
  [completed] wiki_vote_cn_s0  (419/840, 37.9s)
  [completed] wiki_vote_aa_s3  (420/840, 47.0s)
  [completed] wiki_vote_aa_s42  (421/840, 46.4s)
  [completed] wiki_vote_cn_s1  (422/840, 38.2s)
