round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,hit_rate@5,rec_coverage@5,novelty,clustering_diff,degree_kl,replay_size
75,0.10371501773748522,0.024471635150166853,44.0,1798.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.3175355450236967,2.5435897435897434,,,76.0
76,0.10376428852975955,0.020705092333519866,37.0,1787.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.330173775671406,2.565,,,77.0
77,0.10396137169885691,0.02987598647125141,53.0,1774.0,189.0,0.0,1.0,1.0,1.0,1.0,0.13227513227513227,0.32596103212216954,2.5816326530612246,,,78.0
78,0.10410918407567994,0.02144469525959368,38.0,1772.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.31911532385466035,2.64,,,79.0
79,0.10435553803705164,0.02280501710376283,40.0,1754.0,189.0,0.0,1.0,1.0,1.0,1.0,0.13756613756613756,0.31911532385466035,2.6736842105263157,,,80.0
80,0.10470043358297201,0.02857142857142857,51.0,1785.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1164021164021164,0.32385466034755134,2.6615384615384614,0.0021989026862084537,0.6352572880103755,81.0
81,0.10504532912889239,0.022664455500276397,41.0,1809.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10582010582010581,0.3180621379673512,2.87,,,82.0
82,0.10514387071344107,0.02023608768971332,36.0,1779.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10582010582010581,0.3264876250658241,2.705,,,83.0
83,0.10519314150571542,0.016901408450704224,30.0,1775.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06349206349206349,0.32701421800947866,2.795,,,84.0
84,0.10529168309026408,0.01870748299319728,33.0,1764.0,189.0,0.0,1.0,1.0,1.0,1.0,0.07407407407407407,0.3280674038967878,2.785,,,85.0
85,0.10548876625936145,0.030045351473922902,53.0,1764.0,189.0,0.0,1.0,1.0,1.0,1.0,0.13227513227513227,0.3280674038967878,2.495,,,86.0
86,0.10563657863618447,0.019144144144144143,34.0,1776.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1164021164021164,0.31174302264349657,2.805,,,87.0
87,0.10573512022073316,0.01728945900725042,31.0,1793.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06349206349206349,0.3233280674038968,2.795,,,88.0
88,0.1059322033898305,0.0259009009009009,46.0,1776.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.31911532385466035,2.74,,,89.0
89,0.10598147418210485,0.019187358916478554,34.0,1772.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08994708994708994,0.3196419167983149,2.625,,,90.0
90,0.10608001576665353,0.018782014797951052,33.0,1757.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08994708994708994,0.320695102685624,2.4564102564102566,0.0029192771630785486,0.4593169072554126,91.0
91,0.10617855735120221,0.024627720504009163,43.0,1746.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10582010582010581,0.3291205897840969,2.52,,,92.0
92,0.10632636972802523,0.021654636313159357,39.0,1801.0,189.0,0.0,1.0,1.0,1.0,1.0,0.09523809523809523,0.31911532385466035,2.62,,,93.0
93,0.10662199448167127,0.02562642369020501,45.0,1756.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.3175355450236967,2.61,,,94.0
94,0.10681907765076862,0.023269012485811577,41.0,1762.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10052910052910052,0.3185887309110058,2.655,,,95.0
95,0.10696689002759165,0.020786516853932586,37.0,1780.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08465608465608465,0.3091100579252238,2.61,,,96.0
96,0.10701616081986598,0.014806378132118452,26.0,1756.0,189.0,0.0,1.0,1.0,1.0,1.0,0.07407407407407407,0.32385466034755134,2.74,,,97.0
97,0.10706543161214033,0.020578420467185762,37.0,1798.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08994708994708994,0.3180621379673512,2.545,,,98.0
98,0.10721324398896334,0.019852524106636415,35.0,1763.0,189.0,0.0,1.0,1.0,1.0,1.0,0.07936507936507936,0.320695102685624,2.59,,,99.0
99,0.10736105636578636,0.024321266968325792,43.0,1768.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.3333333333333333,2.56,,,100.0
